63172;1;1950;18545;11
100255;1;1956;9674;9
108656;1;1981;12778;8
222023;0;1989;6716;6
274806;0;1988;12431;10
300890;0;1983;10829;8
312297;0;1957;6579;3
324954;1;1962;1785;4
324956;1;1983;1785;4
324958;1;1967;1785;4
324960;1;1971;13453;17
324963;0;1980;1785;4
367038;0;1971;9313;6
391845;1;1972;14805;12
395737;0;1989;9571;7
426205;1;1970;11506;7
436227;0;1970;18550;12
440168;1;1988;49951;43
443447;0;1985;9680;14
489719;1;1989;13298;12
537719;0;1962;11500;8
541519;0;1986;17413;9
547424;1;1963;106664;83
574915;0;1999;16938;11
574916;0;1969;16938;11
636676;0;1989;12975;7
654266;0;1987;15175;13
662773;0;1972;27722;15
662774;1;1972;20924;11
662775;1;1999;19868;10
664564;0;1963;8533;11
774707;0;1987;14120;11
782596;0;1945;4386;3
831259;0;1943;8315;7
933669;0;1980;6324;5
966965;0;1987;11459;7
970663;1;1936;9338;8
970664;0;1953;7812;6
1001460;0;1974;15015;10
1018504;0;1979;8743;6
1021955;0;1985;2654;3
1041898;1;1961;3864;3
1099722;0;1959;2964;2
1099723;1;1957;2964;2
1099724;0;1964;2964;2
1099725;1;1967;13985;8
1099726;0;1968;10951;7
1099727;0;1968;11011;5
1099728;1;1955;2964;2
1099729;0;1968;2964;2
1099730;0;1957;3856;4
1099731;1;1973;2964;2
1099732;1;1958;9482;7
1099733;1;1963;7499;4
1099734;0;1963;2964;2
1099735;0;1963;2964;2
1099736;0;1965;2964;2
1099737;1;1974;2964;2
1099738;1;1958;2964;2
1139232;1;1979;59208;39
1148825;0;1984;17562;12
1185628;0;1970;17172;15
1185629;1;1969;21627;18
1185941;0;1972;16214;12
1185943;0;1978;14801;13
1185944;0;1977;19945;15
1210616;1;1971;17398;17
1210618;1;1971;13947;13
1223735;1;1982;11264;9
1229690;0;1962;14663;11
1241617;1;1950;98453;80
1279528;0;1989;22707;20
1286192;1;1979;35014;38
1292390;1;1974;6386;4
1292394;1;1969;6594;4
1293228;0;1971;20574;14
1315981;0;1983;49768;36
1317667;1;1981;25541;20
1350736;0;1986;12499;10
1368193;1;1978;32524;41
1377431;1;1957;58627;62
1385596;1;1965;7898;6
1409768;1;1957;8014;7
1414309;1;1958;3713;4
1414310;1;1965;2068;3
1463610;0;1949;7817;5
1463617;1;1938;7817;5
1486547;0;1960;10202;10
1493267;1;1968;5182;5
1497922;0;1986;32109;25
1554273;1;1952;35876;36
1554502;1;1962;102521;85
1592613;1;1960;24417;20
1593311;1;1979;20149;15
1600983;0;1986;8067;6
1611015;0;1988;43846;40
1670078;0;1951;1284;1
1670079;0;1974;1284;1
1670080;0;1974;3021;2
1670081;0;1962;1284;1
1670082;1;1971;1284;1
1670083;1;1980;1284;1
1670084;0;1974;7257;5
1670085;1;1968;1284;1
1671352;0;1963;2482;2
1671353;1;1972;1284;1
1671354;0;1960;2482;2
1671355;0;1977;4978;5
1671356;1;1967;1284;1
1671357;1;1945;2482;2
1671358;0;1972;1284;1
1671359;0;1976;2647;2
1671818;1;1957;2482;2
1714822;0;1963;19629;13
1725615;1;1983;15604;8
1730938;1;1962;60139;40
1740539;1;1977;57188;49
1740540;1;1972;45133;45
1740541;1;1960;53844;61
1740542;1;1971;21921;21
1740543;1;1953;41524;50
1740544;1;1983;63567;63
1740545;1;1967;47494;51
1740546;1;1964;41872;36
1740547;1;1965;34885;40
1741380;0;1988;4170;6
1742379;1;1977;26657;25
1769313;1;1970;3044;2
1794280;1;1966;22148;17
1794281;1;1978;11279;11
1794282;1;1964;15483;15
1794283;1;1972;4846;5
1794284;1;1978;14505;13
1797205;1;1969;7000;7
1797206;1;1976;10468;9
1797207;0;1971;11674;9
1797209;1;1969;10701;9
1810619;1;1972;27070;23
1817469;1;1953;7000;7
1817470;1;1972;13377;12
1817471;1;1963;17556;14
1817472;1;1968;26473;19
